NAME,COUNTRY,LONGITUDE,LATITUDE,TAMAX,TAMAXDATE,TAMIN,TAMINDATE
SHARJAH INTER. AIRP, AE,55.517,25.333,26.03,1958,25.68,1957
ALGER DAR EL BEIDA, AG,3.25,36.7167,18.86,1989,16.51,1956
EL GOLEA, AG,2.8667,30.5667,23.49,1955,19.9,1974
IN AMENAS, AG,9.6331,28.05,22.82,1988,20.96,1974
TAMANRASSET, AG,5.4331,22.8,22.65,1969,20.5,1950
ORAN HOPITAL MILITAIRE, AG,0.65,35.7297,19.73,1895,16.71,1890
ANNABA CAP DE GARDE, AG,7.79,36.97,19.37,1913,17.33,1917
ALGIERS VILLE UNIVERSITE, AG,3.07,36.78,20.41,1899,17.64,1917
ALGIERS BOUZAREAH, AG,3.03,36.8,18.44,1899,15.83,1906
ALGIERS CAP CAXINE, AG,3.04,36.8,18.64,1878,18.09,1879
TIZI OUZOU, AG,4.05,36.72,18.79,1897,16.34,1890
FORT NATIONAL, AG,4.2,36.63,16.15,1924,13.19,1909
BEJAIA BOUGIE PORT, AG,5.1,36.75,19.6,1914,16.98,1917
CONSTANTINE, AG,6.62,36.3697,15.89,1912,14.54,1900
ORLEANSVILLE CHLEF, AG,1.34,36.17,19.66,1899,18.05,1912
SETIF, AG,5.4,36.18,14.97,1878,12.68,1923
ORAN CAP FALCON, AG,0.8,35.77,19.12,1897,17.77,1934
TEBESSA, AG,8.1197,35.42,17.04,1892,14.46,1923
NEMOURS GHAZAOUET, AG,-1.85,35.1,18.5,2012,16.18,1934
SIDI BEL ABBES, AG,0.63,35.2,17.32,1895,14.97,1890
BISKRA, AG,5.72,34.85,22.34,1926,20.43,1887
LAGHOUAT, AG,2.89,33.7997,19.21,1908,17.38,1898
GERYVILLE EL BAYADH, AG,1.0,33.68,16.05,1903,12.75,1925
SKIKDA CAP BOUGAROUNI, AG,6.47,37.08,17.94,1935,17.36,1938
BEJAIA CAP CARBON, AG,5.1,36.78,18.41,1938,17.94,1932
ANNABA, AG,7.809,36.822,17.87,1958,17.87,1958
GUELMA, AG,7.467,36.467,19.05,2014,18.25,2011
MOHAMED BOUDIAF INTERNATIONAL, AG,6.62,36.276,15.61,1967,15.61,1967
OUM EL BOUAGHI, AG,7.117,35.867,15.37,2005,15.37,2005
SOUK AHRAS, AG,7.967,36.283,15.97,2009,15.97,2009
MILIANA, AG,2.233,36.3,18.58,2006,17.38,2007
BORDJ BOU ARRERIDJ, AG,4.767,36.067,16.81,2012,16.81,2012
ARZEW, AG,-0.267,35.817,19.65,2009,18.82,2005
M SILA, AG,4.5,35.667,20.26,2014,19.34,2009
